ds,y,yhat
2015-12-27,1,0.7667145498869952
2015-12-28,0,0.6885214619556723
2015-12-29,2,0.7276642322312504
2015-12-30,2,0.651001769402942
2015-12-31,1,0.6123110807377915
2016-01-01,0,0.6474839100468717
2016-01-02,0,0.81303959777118
2016-01-03,1,0.7148838685759183
2016-01-04,2,0.6387047450885394
2016-01-05,0,0.6802367311163777
2016-01-06,1,0.606253696844149
2016-01-07,0,0.2889301058417479
2016-01-08,1,0.639856922842497
2016-01-09,4,0.7772417417157002
2016-01-10,0,0.6821195564826824
2016-01-11,0,0.6088901143217498
2016-01-12,5,0.6532365143977494
2016-01-13,0,0.581891980671282
2016-01-14,0,0.548519598964707
2016-01-15,0,0.6201384967785089
2016-01-16,0,0.7595034877990321
2016-01-17,0,0.6661354980100708
2016-01-18,0,0.6147500786755506
2016-01-19,2,0.6401457540228511
2016-01-20,1,0.5699914460549833
2016-01-21,2,0.537682443747876
2016-01-22,1,0.6102758569901138
2016-01-23,0,0.7505661980830878
2016-01-24,0,0.6581139515981766
2016-01-25,0,0.58737007728366
2016-01-26,1,0.6340737338889935
2016-01-27,1,0.5650160796631228
2016-01-28,1,0.5339170677539391
2016-01-29,0,0.6078488150444392
2016-01-30,0,0.7496126604419847
2016-01-31,1,0.6587673147403224
2016-02-01,1,0.5897532696265733
2016-02-02,1,0.6382907543577906
2016-02-03,1,0.5711440859086041
2016-02-04,1,0.5419993106240069
2016-02-05,0,0.617888686230978
2016-02-06,0,0.7615690820336335
2016-02-07,0,0.42253548898958904
2016-02-08,2,0.6052279110642013
2016-02-09,2,0.655269406077672
2016-02-10,0,0.4055314392059308
2016-02-11,0,0.5612444139776613
2016-02-12,1,0.6378159377342268
2016-02-13,4,0.7818346905698259
2016-02-14,0,1.0567319703886233
2016-02-15,0,0.40303346768709636
2016-02-16,0,0.6743093080928626
2016-02-17,0,0.42264591429420256
2016-02-18,1,0.5775931401833483
2016-02-19,1,0.6523090721455723
2016-02-20,2,0.7941789946986919
2016-02-21,0,0.7027380513978494
2016-02-22,4,0.6324187075916946
2016-02-23,0,0.6789498149970556
2016-02-24,1,0.6091215696659079
2016-02-25,0,0.5766632328600446
2016-02-26,1,0.6486671518011825
2016-02-27,4,0.7879661632692501
2016-02-28,2,0.6941617587922252
2016-02-29,0,0.6217481661136286
2016-03-01,2,0.6665096335377699
2016-03-02,0,0.5952837721674115
2016-03-03,1,0.5618378741771369
2016-03-04,1,0.6332917864501992
2016-03-05,0,0.7724944573647463
2016-03-06,1,0.6790515616932933
2016-03-07,0,0.6074493751505645
2016-03-08,0,0.6534521921733997
2016-03-09,1,0.5838661388527169
2016-03-10,1,0.5524162861146495
2016-03-11,3,0.6261706198560877
2016-03-12,0,0.767917954341861
2016-03-13,0,0.6771971544162482
2016-03-14,0,0.6084227919431837
2016-03-15,1,0.6572844785836837
2016-03-16,1,0.5905126715735898
2016-03-17,1,0.3098511501954829
2016-03-18,3,0.6380162118245242
2016-03-19,1,0.7820099673200851
2016-03-20,3,0.6932177977572911
2016-03-21,1,0.6260022988959264
2016-03-22,2,0.6760105624851613
2016-03-23,2,0.6099410052892557
2016-03-24,0,0.557805618041119
2016-03-25,1,0.657444300778407
2016-03-26,1,0.8007287474710556
2016-03-27,1,0.48784908287100487
2016-03-28,1,0.641952688617665
2016-03-29,0,0.689961155690806
2016-03-30,0,0.6215363667742845
2016-03-31,0,0.5903587632267092
2016-04-01,0,0.6634721602469564
2016-04-02,0,0.8036618996221903
2016-04-03,1,0.7104837453073202
2016-04-04,0,0.6383886634445537
2016-04-05,4,0.6831207610968767
2016-04-06,2,0.611481227375482
2016-04-07,3,0.5772051850927863
2016-04-08,0,0.6473850237460197
2016-04-09,1,0.7848473248151867
2016-04-10,2,0.6891807793785739
2016-04-11,0,0.6148602665606324
2016-04-12,0,0.6576443853565969
2016-04-13,0,0.5843392926747177
2016-04-14,1,0.5486757555178394
2016-04-15,1,0.61773297862566
2016-04-16,3,0.7543163001057549
2016-04-17,0,0.6579861282770124
2016-04-18,1,0.5831832539656023
2016-04-19,1,0.6256277901354422
2016-04-20,1,0.5520845459106822
2016-04-21,3,0.516241693425112
2016-04-22,0,0.5851362371716123
2016-04-23,1,0.7215333261564142
2016-04-24,1,0.624956730881252
